Word,Definition
Analyzing,"Breaking down complex information to find what's really going on — you're not satisfied until you understand the structure beneath the surface."
Synthesizing,"Pulling information from many sources into a coherent whole — you see the pattern when others see only pieces."
Diagnosing,"Identifying the root cause of a problem, not just its symptoms — you find what others miss and name it with precision."
Building,"Constructing something lasting — a product, a team, a system — you're energized by the work of making something real from nothing."
Coordinating,"Making sure the right things happen in the right order across multiple people or workstreams — you're the person who holds it all together."
Defusing,"Reducing tension, conflict, or crisis before it escalates — you read the room accurately and know what to say to bring the temperature down."
Managing,"Taking responsibility for how a team, system, or process runs — you're energized by ownership and good at keeping things on track."
Solving,"Taking a problem and working it through to a resolution — you're energized by the puzzle and satisfied only when it's genuinely cracked."
Teaching,"Helping others understand something they didn't before — you find deep satisfaction when the concept clicks and someone gets it."
Communicating,"Getting ideas across clearly so others understand — you match your message to your audience and leave no room for confusion."
Imagining,"Generating vivid mental pictures of things that don't exist yet — your mind naturally goes to what could be, not just what is."
Influencing,"Shaping how others think, feel, or act without using authority — you move people through ideas, credibility, and genuine connection."
Persuading,"Making a compelling case that moves someone toward your point of view — you know how to sequence an argument and you read your audience."
Planning,"Thinking through what needs to happen and building a clear path to get there — you feel most confident when you have a solid plan."
Creating,"Bringing something new into existence — you feel most alive when you're making something that wasn't there before."
Brainstorming,"Generating a high volume of ideas freely and without judgment — you're energized by open possibility and the creative collision of concepts."
Strategizing,"Thinking several moves ahead and designing the path from here to the goal — you see the whole board while others focus on the next move."
Directing,"Setting the course and making the calls — you're decisive and energized by the responsibility of pointing the way forward."
Innovating,"Finding better ways to do things and making them real — you're energized by the gap between how things are and how they could be."
Inventing,"Conceiving something genuinely new — you don't just improve what exists, you imagine what doesn't."
Designing,"Shaping form and function into something that works and feels right — you care equally about how something operates and how it's experienced."
Ideating,"Generating a stream of ideas quickly and freely — you're energized by quantity and trust that volume produces the gem."
Experimenting,"Trying new approaches with curiosity and discipline — you treat every attempt as data and learn as much from what fails as what works."
Prototyping,"Building a rough version of something to learn from it — you'd rather have something imperfect to react to than a perfect plan on paper."
Crafting,"Doing work with high attention to skill and finish — you care about the quality of the thing itself, not just that it's done."
Reimagining,"Taking something that exists and envisioning it as fundamentally different — you question the premise, not just the execution."
Reframing,"Shifting the lens on a problem so a new solution becomes visible — you offer perspective that changes what's possible."
Improvising,"Creating in the moment without a plan — you're energized by spontaneity and do some of your best work without a script."
Exploring,"Venturing into unfamiliar territory — ideas, places, domains — with curiosity and open attention."
Discovering,"Uncovering something that was previously unknown or unrecognized — you live for the moment a hidden truth comes into view."
Pioneering,"Going first into unexplored territory — you're energized by the unfamiliar and willing to figure it out without a map."
Storytelling,"Turning information, experience, or ideas into a narrative that lands — you know that a great story changes minds when data alone doesn't."
Visualizing,"Creating mental or actual images that communicate what words alone can't — you think in pictures and help others see."
Generating,"Producing a high volume of output — ideas, options, content, solutions — you're a natural source when others run dry."
Adapting,"Adjusting quickly and effectively when circumstances change — you don't need things to stay the same to perform well."
Transforming,"Driving fundamental change in how something looks, operates, or is understood — you operate at the level of root-and-branch, not incremental adjustment."
Orchestrating,"Coordinating many moving parts into a unified, well-timed result — you conduct the whole thing so it sounds like one coherent performance."
Visioning,"Painting a compelling picture of a desirable future — you help others see where they could go, not just where they are."
Framing,"Defining how a problem, idea, or opportunity is understood and presented — you know that how something is framed determines how it's received."
Navigating,"Finding your way through complex, ambiguous, or shifting terrain — you're calm in the maze and good at finding the way out."
Pivoting,"Changing course decisively when the data or situation demands it — you can let go of a direction without losing momentum."
Optimizing,"Finding the most efficient path to a result — you're never satisfied with 'good enough' when 'better' is within reach."
Simplifying,"Stripping complexity down to its clearest form — you make hard things understandable without losing what matters."
Streamlining,"Removing what's unnecessary to make a process faster, simpler, or more effective — you're energized by elimination as much as addition."
Systematizing,"Turning one-off processes into repeatable systems — you see patterns in what you do and build the infrastructure to do it consistently."
Structuring,"Imposing clear organization on complex or ambiguous material — you build the scaffold that lets others climb."
Governing,"Establishing and maintaining the rules, oversight, and accountability structures that keep things sound — you care about doing things the right way."
Prioritizing,"Deciding what matters most and ordering effort accordingly — you make hard calls about what to do and, just as importantly, what not to do."
Aligning,"Bringing people, goals, and resources into coherent direction — you spot misalignment before it becomes dysfunction."
Sequencing,"Determining the right order for things to happen — you think in dependencies and understand that sequence is often strategy."
Positioning,"Defining where something or someone stands relative to everything else — you understand competitive landscape and know how to carve out ground."
Anticipating,"Seeing what's coming before it arrives and preparing for it — you're rarely surprised because you've already thought it through."
Forecasting,"Projecting what's likely to happen next by reading current signals — you think in scenarios and help others prepare for what's coming."
Mapping,"Creating a clear picture of how things relate and connect — you make the invisible structure visible so others can navigate it."
Benchmarking,"Measuring performance against the best available standard — you instinctively ask 'compared to what?' and use that answer to drive improvement."
Validating,"Confirming that something is sound, accurate, or ready — you're the person who checks the work and catches what slipped through."
Testing,"Running experiments and checks to see what actually holds up — you trust verified results over confident assumptions."
Measuring,"Defining what success looks like and quantifying whether you're achieving it — you believe that what gets measured gets managed."
Evaluating,"Weighing evidence and options with clear judgment — you cut through noise and land on what actually matters."
Assessing,"Taking a clear-eyed look at a situation, capability, or risk — you evaluate honestly and don't let preference distort what you see."
Interpreting,"Making sense of data, signals, or events to extract meaningful insight — you tell others what the information actually says."
Reasoning,"Working through problems step by step with logical rigor — you trust argument over intuition and build conclusions that hold."
Researching,"Diving deep into a subject to surface the truth — you're energized by the hunt and know how to find what isn't obvious."
Investigating,"Following a trail of evidence wherever it leads — you're drawn to unanswered questions and won't stop until you have answers."
Questioning,"Challenging assumptions and asking what everyone else takes for granted — the right question, to you, is more powerful than the obvious answer."
Profiling,"Building a detailed picture of a person, market, or situation — you read patterns and assemble them into something actionable."
Differentiating,"Identifying what makes one thing distinctly valuable or different from another — you see nuance where others see sameness."
Inferring,"Drawing conclusions from incomplete information through careful logical thought — you're comfortable working with less than perfect data."
Distilling,"Reducing something complex to its most essential form — you find the core insight buried in the volume and surface it cleanly."
Leading,"Taking people somewhere they couldn't get to without you — you're energized by the responsibility and the trust that comes with it."
Inspiring,"Lighting a fire in others — you communicate possibility in a way that makes people want to be part of something larger than themselves."
Motivating,"Understanding what drives people and activating it — you find the engine in others and help them run at full speed."
Championing,"Advocating fiercely for a person, idea, or cause — you lend your credibility and voice to what you believe in."
Empowering,"Giving others the authority, confidence, and resources to act — you build people up and step back so they can step forward."
Mentoring,"Sharing hard-won experience to help someone navigate their path — you find deep meaning in being useful to someone earlier in their journey."
Coaching,"Drawing out the best in others through questions, challenge, and belief — you help people find answers within themselves."
Cultivating,"Patiently developing something — a relationship, a talent, a culture — you take the long view and tend what others overlook."
Mobilizing,"Getting people moving in a common direction — you turn passive agreement into active effort."
Unifying,"Bringing together diverse people or perspectives into a cohesive whole — you find the common ground and make people feel they're on the same side."
Delegating,"Assigning the right work to the right people and trusting them to deliver — you know that great outcomes require letting go of control."
Elevating,"Raising the quality, ambition, or standard of what's around you — your presence lifts the work and the people doing it."
Advocating,"Speaking up for what you believe in, especially when it's not the easy position — you're willing to be the voice others won't be."
Challenging,"Pushing people and ideas to be better — you ask the hard question, hold the higher standard, and don't let good enough be enough."
Energizing,"Raising the vitality of the people and environment around you — your presence makes things feel more alive and possible."
Presenting,"Delivering ideas to a group with clarity and confidence — you prepare carefully and perform well when others are listening."
Explaining,"Breaking down complex ideas until others genuinely understand them — you feel the job isn't done until the concept clicks."
Articulating,"Expressing ideas fluently and precisely in spoken or written form — you give language to things others struggle to name."
Listening,"Giving your full attention to what someone is saying — not just the words, but what's underneath — and making them feel genuinely heard."
Interviewing,"Drawing out information, perspective, or stories through skilled questioning — you know how to put people at ease and get to what's real."
Facilitating,"Creating the conditions for a group to think, decide, or create together — you hold the space without dominating it."
Summarizing,"Capturing the key points of something complex in a brief, accurate form — you give others what they need without making them read everything."
Training,"Building capability in others through instruction and practice — you're energized when you see someone improve because of your investment."
Implementing,"Putting a decision, plan, or design into practice — you're energized by the moment strategy becomes action."
Delivering,"Getting things done and crossing the finish line — you take real satisfaction in completion and don't leave things half-finished."
Launching,"Getting something new off the ground — you love the energy of the start, the first day, the moment something becomes real."
Executing,"Translating plans into action with discipline and follow-through — you're the person who makes sure things actually happen."
Founding,"Starting something from scratch — you're drawn to the blank page and energized by being first."
Integrating,"Bringing separate parts together into a functioning whole — you make systems work by connecting what was disconnected."
Engineering,"Designing and building systems that work — you think in mechanisms and find deep satisfaction in elegance under constraint."
Producing,"Bringing a project, event, or piece of work from concept to completion — you're the person who makes it actually happen."
Scaling,"Taking something that works and making it work at much greater size — you think in systems and build for volume."
Troubleshooting,"Identifying and resolving the root cause of a problem through systematic analysis — you're calm under malfunction and systematic in restoration."
Untangling,"Working through complicated or conflicted situations to restore clarity — you're patient with mess and good at finding the thread."
Recovering,"Restoring function, morale, or progress after a setback — you don't stay down long, and you know how to bring others back up with you."
Repairing,"Fixing what's broken — a relationship, a system, a reputation — you're willing to do the unglamorous work of restoration."
Mediating,"Bringing people in conflict to a resolution — you hold the space between them with neutrality and skill."
Negotiating,"Finding mutually acceptable outcomes through skilled dialogue — you move parties toward agreement without losing what matters most."
Resolving,"Bringing a conflict, problem, or open question to a definitive conclusion — you don't leave loose ends."
Collaborating,"Working with others toward a shared goal in a way that produces more than any of you could alone — you're a natural partner."
Partnering,"Building deep, sustained working relationships based on mutual investment — you're at your best when working closely with someone you trust."
Networking,"Building and maintaining a wide web of professional relationships — you're genuinely interested in people and skilled at staying connected."
Empathizing,"Feeling into another person's experience and letting it matter to you — you connect through genuine understanding, not just acknowledgment."
Supporting,"Being reliably present for others when they need it — you show up, you follow through, and people know they can count on you."
Serving,"Orienting your effort toward the needs of others — you find meaning in being useful to people and causes that matter."
Caring,"Attending to the wellbeing of others as a genuine priority — you notice when someone is struggling and you do something about it."
Hosting,"Creating an environment where others feel looked after and at home — you take real satisfaction in making others comfortable."
Convening,"Bringing the right people together at the right time — you know that the meeting that matters most is the one you call."
Bridging,"Connecting people, ideas, or groups that wouldn't otherwise reach each other — you see paths across divides that others can't find."
Connecting,"Creating genuine relationships and bonds between people or organizations — you're energized by the link itself and what it makes possible."
Learning,"Absorbing new knowledge, skills, and perspectives with genuine enthusiasm — you're never done and never bored when you're figuring something out."
Growing,"Expanding capability, perspective, or impact over time through intentional effort — you're drawn to the gap between where you are and where you could be."
Advancing,"Moving something forward — a person, a cause, an initiative — you take what's there and push it further than it was."
Absorbing,"Taking in large amounts of new information and processing it deeply — you're a sponge, and what you absorb becomes part of how you think."
Expanding,"Growing the reach, scope, or scale of something that's already working — you see potential where others see a ceiling."
Refining,"Improving something iteratively until it's as good as it can be — you have a high standard and the patience to meet it."
Achieving,"Reaching goals through sustained effort — you set ambitious targets and take genuine satisfaction in hitting them."
